gameid,side,patch,damage_sum,damage_mean,damage_std,toughness_sum,toughness_mean,toughness_std,control_sum,control_mean,control_std,mobility_sum,mobility_mean,mobility_std,utility_sum,utility_mean,utility_std,role_ARTILLERY_count,role_ASSASSIN_count,role_BATTLEMAGE_count,role_BURST_count,role_CATCHER_count,role_DIVER_count,role_ENCHANTER_count,role_FIGHTER_count,role_JUGGERNAUT_count,role_MAGE_count,role_MARKSMAN_count,role_SKIRMISHER_count,role_SPECIALIST_count,role_SUPPORT_count,role_TANK_count,role_VANGUARD_count,role_WARDEN_count,result
LOLTMNT06_163114,1,16.01,11.0,2.2,0.7483314773547882,10.0,2.0,0.8944271909999159,12.0,2.4,0.8,8.0,1.6,0.4898979485566356,5.0,1.0,0.6324555320336759,0,0,0,1,0,1,0,2,0,1,1,1,0,1,3,1,1,1
LOLTMNT01_319628,0,16.01,11.0,2.2,0.7483314773547882,9.0,1.8,0.7483314773547883,9.0,1.8,0.7483314773547883,8.0,1.6,0.8,8.0,1.6,0.4898979485566356,0,0,0,1,0,1,0,2,1,3,1,0,0,2,2,1,0,0
LOLTMNT01_319628,1,16.01,12.0,2.4,0.8,8.0,1.6,0.4898979485566356,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,5.0,1.0,0.6324555320336759,0,1,0,0,0,2,0,2,0,1,2,1,1,1,2,0,1,1
LOLTMNT01_319633,0,16.01,11.0,2.2,0.7483314773547882,8.0,1.6,0.4898979485566356,10.0,2.0,0.6324555320336759,10.0,2.0,0.8944271909999159,8.0,1.6,0.8,0,0,1,1,1,1,0,2,0,3,1,0,0,2,1,0,0,1
LOLTMNT01_319633,1,16.01,13.0,2.6,0.8000000000000002,10.0,2.0,0.8944271909999159,9.0,1.8,0.7483314773547883,11.0,2.2,0.39999999999999997,7.0,1.4,0.4898979485566356,0,1,0,0,0,1,0,2,1,2,2,1,1,1,2,1,0,0
LOLTMNT06_163120,0,16.01,12.0,2.4,0.8,8.0,1.6,0.8,11.0,2.2,0.7483314773547882,12.0,2.4,0.8,7.0,1.4,0.8000000000000002,0,3,0,1,1,0,0,2,0,1,1,0,0,1,1,1,0,0
LOLTMNT06_163120,1,16.01,15.0,3.0,0.0,6.0,1.2,0.4000000000000001,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,5.0,1.0,0.0,0,3,0,1,1,1,0,2,0,1,1,1,0,1,1,0,0,1
LOLTMNT01_319631,0,16.01,12.0,2.4,0.8,9.0,1.8,0.7483314773547883,8.0,1.6,0.8,7.0,1.4,0.8000000000000002,8.0,1.6,0.4898979485566356,0,1,1,1,0,1,0,2,0,2,1,1,0,2,1,1,0,1
LOLTMNT01_319631,1,16.01,13.0,2.6,0.8,6.0,1.2,0.4000000000000001,9.0,1.8,0.7483314773547883,9.0,1.8,0.4,8.0,1.6,0.4898979485566356,1,1,1,0,0,1,1,3,0,3,2,0,0,1,0,0,0,0
LOLTMNT01_319634,0,16.01,12.0,2.4,0.8,9.0,1.8,0.7483314773547883,8.0,1.6,0.8,12.0,2.4,0.4898979485566356,5.0,1.0,0.6324555320336759,0,2,0,0,0,2,0,2,0,0,1,1,0,1,2,1,0,0
LOLTMNT01_319634,1,16.01,11.0,2.2,0.7483314773547882,10.0,2.0,0.6324555320336759,14.0,2.8,0.39999999999999997,10.0,2.0,0.6324555320336759,8.0,1.6,0.8,0,0,0,0,1,0,0,2,0,1,2,1,1,1,2,1,1,1
LOLTMNT01_318843,0,16.01,12.0,2.4,0.8,9.0,1.8,0.9797958971132713,10.0,2.0,0.6324555320336759,7.0,1.4,0.4898979485566356,5.0,1.0,0.0,0,1,1,0,0,0,0,1,1,1,2,0,0,1,2,1,0,1
LOLTMNT01_319643,0,16.01,12.0,2.4,0.8,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,8.0,1.6,0.4898979485566356,6.0,1.2,0.7483314773547883,0,0,2,0,0,1,0,3,0,2,1,0,0,1,2,1,0,1
LOLTMNT01_319643,1,16.01,11.0,2.2,0.7483314773547882,10.0,2.0,0.8944271909999159,11.0,2.2,0.7483314773547882,10.0,2.0,0.6324555320336759,9.0,1.8,0.7483314773547883,0,0,1,0,0,1,0,2,0,2,1,1,0,2,3,1,1,0
LOLTMNT01_319644,0,16.01,13.0,2.6,0.4898979485566356,7.0,1.4,0.4898979485566356,9.0,1.8,0.4,8.0,1.6,0.4898979485566356,7.0,1.4,1.019803902718557,1,0,1,0,0,1,1,2,0,3,1,0,0,1,1,0,0,0
LOLTMNT01_319644,1,16.01,11.0,2.2,0.7483314773547882,8.0,1.6,0.8,12.0,2.4,0.8,8.0,1.6,0.4898979485566356,6.0,1.2,0.4,0,0,0,0,0,0,1,2,0,3,2,0,1,1,2,2,0,1
LOLTMNT01_319645,0,16.01,10.0,2.0,0.6324555320336759,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,7.0,1.4,0.4898979485566356,8.0,1.6,0.4898979485566356,0,0,0,1,0,2,0,2,0,1,1,0,0,2,3,1,0,0
LOLTMNT01_319645,1,16.01,10.0,2.0,0.8944271909999159,10.0,2.0,0.8944271909999159,11.0,2.2,0.7483314773547882,8.0,1.6,0.4898979485566356,8.0,1.6,0.4898979485566356,0,0,0,1,0,1,0,2,0,2,1,0,0,1,3,2,0,1
LOLTMNT06_163125,1,16.01,11.0,2.2,0.7483314773547882,10.0,2.0,0.8944271909999159,9.0,1.8,0.7483314773547883,11.0,2.2,0.39999999999999997,6.0,1.2,0.7483314773547883,0,1,0,0,0,1,0,2,1,0,1,0,0,1,3,1,0,0
LOLTMNT06_163127,0,16.01,14.0,2.8,0.39999999999999997,9.0,1.8,0.7483314773547883,10.0,2.0,0.8944271909999159,8.0,1.6,0.8,6.0,1.2,0.4,0,1,1,1,1,1,0,2,0,3,1,1,0,1,1,0,1,1
LOLTMNT06_163127,1,16.01,10.0,2.0,0.8944271909999159,10.0,2.0,0.8944271909999159,11.0,2.2,0.7483314773547882,7.0,1.4,0.4898979485566356,6.0,1.2,0.4,1,0,0,0,0,1,0,2,0,2,1,0,0,2,3,2,0,0
LOLTMNT01_319673,0,16.01,13.0,2.6,0.8,9.0,1.8,0.7483314773547883,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,6.0,1.2,0.4,0,2,0,1,0,1,0,2,0,2,1,2,0,1,1,1,0,1
LOLTMNT01_319673,1,16.01,11.0,2.2,0.7483314773547882,9.0,1.8,0.7483314773547883,12.0,2.4,0.4898979485566356,10.0,2.0,0.6324555320336759,9.0,1.8,0.7483314773547883,0,0,0,0,1,1,0,2,0,1,2,1,1,1,2,0,1,0
LOLTMNT01_319672,0,16.01,11.0,2.2,0.39999999999999997,8.0,1.6,0.8,10.0,2.0,0.6324555320336759,7.0,1.4,0.4898979485566356,10.0,2.0,0.6324555320336759,0,0,0,1,0,1,1,2,0,2,1,1,0,2,2,0,1,0
LOLTMNT01_319672,1,16.01,12.0,2.4,0.8,7.0,1.4,0.8000000000000002,11.0,2.2,0.7483314773547882,7.0,1.4,0.4898979485566356,6.0,1.2,0.4,0,1,0,2,0,0,1,2,0,2,0,1,1,2,2,1,0,1
LOLTMNT01_318863,0,16.01,10.0,2.0,0.8944271909999159,9.0,1.8,0.9797958971132713,12.0,2.4,0.8,8.0,1.6,0.8,7.0,1.4,0.4898979485566356,0,0,1,0,0,0,1,1,0,4,1,1,0,1,2,1,1,1
LOLTMNT01_318863,1,16.01,12.0,2.4,0.4898979485566356,7.0,1.4,0.8,7.0,1.4,0.4898979485566356,6.0,1.2,0.4,8.0,1.6,0.4898979485566356,1,0,0,1,0,0,1,2,1,2,1,0,1,2,2,0,0,0
LOLTMNT01_318864,0,16.01,10.0,2.0,0.8944271909999159,9.0,1.8,0.7483314773547883,11.0,2.2,0.7483314773547882,7.0,1.4,0.4898979485566356,9.0,1.8,0.4,0,0,1,0,0,1,0,3,0,1,1,0,0,1,3,1,1,0
LOLTMNT01_318864,1,16.01,12.0,2.4,0.8,10.0,2.0,0.8944271909999159,9.0,1.8,0.9797958971132713,10.0,2.0,0.6324555320336759,7.0,1.4,0.4898979485566356,1,1,0,0,0,0,0,2,0,1,2,1,0,1,2,1,1,1
LOLTMNT01_319687,0,16.01,12.0,2.4,0.8,10.0,2.0,0.8944271909999159,9.0,1.8,0.7483314773547883,7.0,1.4,0.4898979485566356,7.0,1.4,0.4898979485566356,0,1,0,1,0,0,0,2,1,2,1,1,0,1,2,1,0,1
LOLTMNT01_319687,1,16.01,12.0,2.4,0.8,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,7.0,1.4,0.4898979485566356,6.0,1.2,0.9797958971132713,0,0,1,0,0,1,0,2,1,1,1,0,0,2,3,1,0,0
LOLTMNT01_318875,0,16.01,10.0,2.0,0.6324555320336759,10.0,2.0,0.8944271909999159,11.0,2.2,0.7483314773547882,7.0,1.4,0.4898979485566356,7.0,1.4,0.4898979485566356,0,0,0,1,0,1,0,2,0,2,1,0,0,2,3,2,0,0
LOLTMNT01_318875,1,16.01,12.0,2.4,0.8,10.0,2.0,0.8944271909999159,8.0,1.6,0.8,9.0,1.8,0.7483314773547883,6.0,1.2,0.4,0,1,1,0,0,0,0,2,1,2,1,1,0,1,2,1,0,1
LOLTMNT01_318874,0,16.01,10.0,2.0,0.6324555320336759,8.0,1.6,0.8,11.0,2.2,0.7483314773547882,8.0,1.6,0.8,8.0,1.6,0.4898979485566356,0,1,0,1,0,1,1,2,0,2,1,0,0,2,2,1,0,0
LOLTMNT01_318877,0,16.01,14.0,2.8,0.39999999999999997,6.0,1.2,0.4,8.0,1.6,0.8,10.0,2.0,0.8944271909999159,6.0,1.2,0.4000000000000001,0,2,0,2,1,1,0,2,0,3,1,1,0,2,0,0,0,1
LOLTMNT01_318877,1,16.01,11.0,2.2,0.7483314773547882,9.0,1.8,0.7483314773547883,12.0,2.4,0.4898979485566356,9.0,1.8,0.7483314773547883,9.0,1.8,0.7483314773547883,0,0,1,0,2,1,0,2,0,2,1,1,0,1,2,0,1,0
LOLTMNT03_337058,0,16.01,14.0,2.8,0.39999999999999997,8.0,1.6,0.4898979485566356,9.0,1.8,0.4,10.0,2.0,0.6324555320336759,5.0,1.0,0.0,0,2,1,1,0,2,0,3,0,3,1,0,0,0,1,0,0,1
LOLTMNT03_337058,1,16.01,10.0,2.0,0.8944271909999159,11.0,2.2,0.9797958971132712,12.0,2.4,0.8,7.0,1.4,0.4898979485566356,8.0,1.6,1.019803902718557,0,0,1,0,0,0,0,1,0,2,1,1,0,2,3,2,1,0
LOLTMNT03_337069,0,16.01,10.0,2.0,0.6324555320336759,9.0,1.8,0.9797958971132713,11.0,2.2,0.7483314773547882,5.0,1.0,0.0,8.0,1.6,0.8,0,0,1,0,0,0,1,2,1,2,1,0,0,2,2,1,0,0
LOLTMNT03_337069,1,16.01,11.0,2.2,0.7483314773547882,8.0,1.6,0.4898979485566356,9.0,1.8,0.7483314773547883,11.0,2.2,0.7483314773547882,7.0,1.4,0.4898979485566356,0,2,1,1,0,1,0,2,0,2,1,1,0,1,2,0,1,1
LOLTMNT03_337081,0,16.01,11.0,2.2,0.7483314773547882,8.0,1.6,0.4898979485566356,11.0,2.2,0.39999999999999997,8.0,1.6,0.4898979485566356,9.0,1.8,0.7483314773547883,0,0,0,1,1,2,0,2,0,1,1,0,0,2,3,0,0,1
LOLTMNT03_337081,1,16.01,13.0,2.6,0.8,8.0,1.6,0.8,10.0,2.0,0.6324555320336759,12.0,2.4,0.4898979485566356,7.0,1.4,0.4898979485566356,1,3,0,1,0,1,0,2,0,2,0,1,0,1,1,1,0,0
LOLTMNT03_337109,0,16.01,13.0,2.6,0.4898979485566356,7.0,1.4,0.4898979485566356,8.0,1.6,0.4898979485566356,11.0,2.2,0.7483314773547882,8.0,1.6,0.4898979485566356,0,1,1,1,0,2,1,3,0,3,1,1,0,1,1,0,0,1
